,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,BNB-USD,BTC-USD,ETH-USD,BNB-USD,BTC-USD,ETH-USD,BNB-USD,BTC-USD,ETH-USD,BNB-USD,BTC-USD,ETH-USD,BNB-USD,BTC-USD,ETH-USD,BNB-USD,BTC-USD,ETH-USD
2022-02-25 05:00:00+00:00,360.5634460449219,38508.234375,2610.888671875,360.5634460449219,38508.234375,2610.888671875,363.85943603515625,38785.8046875,2622.83935546875,359.9564514160156,38412.34765625,2592.95556640625,363.5998229980469,38763.53515625,2622.1455078125,0,0,0
2022-02-25 06:00:00+00:00,362.6135559082031,38731.8515625,2632.63232421875,362.6135559082031,38731.8515625,2632.63232421875,362.6135559082031,38731.8515625,2632.63232421875,359.8599853515625,38429.28125,2603.697998046875,360.4401550292969,38488.37109375,2608.855712890625,0,0,0
2022-02-25 07:00:00+00:00,363.29193115234375,38467.30078125,2615.09423828125,363.29193115234375,38467.30078125,2615.09423828125,365.04974365234375,38790.04296875,2639.111083984375,362.20904541015625,38467.30078125,2615.09423828125,362.4291076660156,38726.74609375,2632.148193359375,0,0,0
2022-02-25 08:00:00+00:00,361.9846496582031,38414.0,2610.769287109375,361.9846496582031,38414.0,2610.769287109375,364.0954895019531,38505.9140625,2616.26953125,360.8460693359375,38270.08984375,2598.3154296875,363.3347473144531,38467.58203125,2614.592529296875,0,0,0
2022-02-25 09:00:00+00:00,360.6276550292969,38505.58984375,2602.50830078125,360.6276550292969,38505.58984375,2602.50830078125,362.2874755859375,38505.58984375,2611.651611328125,357.6526184082031,38119.66015625,2580.40478515625,362.0546875,38411.66796875,2610.26513671875,0,0,0
2022-02-25 10:00:00+00:00,359.8285827636719,38558.34375,2613.544677734375,359.8285827636719,38558.34375,2613.544677734375,361.6622619628906,38657.30078125,2619.497314453125,359.6621398925781,38558.34375,2609.3466796875,361.2385559082031,38576.81640625,2609.3466796875,0,0,0
2022-02-25 11:00:00+00:00,361.95892333984375,38721.77734375,2632.4267578125,361.95892333984375,38721.77734375,2632.4267578125,361.95892333984375,38721.77734375,2632.4267578125,358.8202209472656,38426.97265625,2604.22998046875,359.91632080078125,38562.20703125,2614.2490234375,0,0,0
2022-02-25 12:00:00+00:00,367.6354064941406,39305.58984375,2702.332763671875,367.6354064941406,39305.58984375,2702.332763671875,367.6424865722656,39309.9921875,2702.40966796875,362.11126708984375,38747.8046875,2634.4111328125,362.11126708984375,38747.8046875,2634.4111328125,14229504,871878656,826437632
2022-02-25 13:00:00+00:00,369.9498596191406,39366.48828125,2710.24853515625,369.9498596191406,39366.48828125,2710.24853515625,371.4510498046875,39599.93359375,2725.982421875,368.0223693847656,39300.6640625,2703.223876953125,368.49664306640625,39355.31640625,2703.4169921875,9243648,506130432,0
2022-02-25 14:00:00+00:00,369.1896057128906,39194.81640625,2693.72412109375,369.1896057128906,39194.81640625,2693.72412109375,370.516845703125,39362.9609375,2710.387451171875,368.174072265625,39165.7421875,2692.8740234375,370.0292053222656,39362.9609375,2710.08251953125,0,0,0
